"","sampleN_ID","d_actual","sampleN","Bin_mean","Bin_min","Bin_max","Bin_SE","Bin_SE_minus","Bin_Nlosers","Nonbin_mean","Nonbin_min","Nonbin_max","Nonbin_SE","Nonbin_SE_minus","Nonbin_Nlosers"
"1",1,0.2,5,18167.9524,97,162494,256.779436138394,-256.779436138394,21,14394.6524,94,138730,202.243153220374,-202.243153220374,28
"2",2,0.2,10,8853.5142,45,103859,123.580178936288,-123.580178936288,20,6249.8542,31,58261,83.5998069350186,-83.5998069350186,16
"3",3,0.2,20,4557.7474,26,36066,62.61440947109,-62.61440947109,15,3082.8224,20,28833,40.576899312826,-40.576899312826,26
"4",4,0.2,40,2546.1182,13,22059,34.8188038465714,-34.8188038465714,15,1600.5,11,12479,18.5113999228967,-18.5113999228967,10
"5",5,0.2,80,1508.389,6,13535,20.0756606956352,-20.0756606956352,16,971.004,6,6972,9.70537900306416,-9.70537900306416,9
"6",6,0.2,160,1034.4544,5,7818,12.7846755128835,-12.7846755128835,8,662.7528,3,3645,5.87403716033055,-5.87403716033055,7
"7",7,0.4,5,6428.8588,49,56604,85.4764778791606,-85.4764778791606,12,5059.2268,45,48417,70.0452934580153,-70.0452934580153,14
"8",8,0.4,10,3085.573,28,27929,39.4734598014912,-39.4734598014912,8,2360.8436,18,20791,29.4909143146365,-29.4909143146365,14
"9",9,0.4,20,1598.943,14,11209,18.7456937134041,-18.7456937134041,6,1313.4386,9,8108,13.3769460409723,-13.3769460409723,8
"10",10,0.4,40,959.4224,9,5520,9.5937573844557,-9.5937573844557,7,857.992,5,4737,7.53127156843302,-7.53127156843302,8
"11",11,0.4,80,691.0562,6,2843,5.95269285607445,-5.95269285607445,10,672.865,3,2612,5.47000794445332,-5.47000794445332,5
"12",12,0.4,160,541.218,4,2094,4.43818364536823,-4.43818364536823,4,579.5034,1,1170,4.68122539212997,-4.68122539212997,4
"13",13,0.8,5,3362.7052,41,20837,37.2244149755593,-37.2244149755593,6,2747.0008,25,18709,32.0586696601707,-32.0586696601707,5
"14",14,0.8,10,1815.528,22,10378,17.5132720250273,-17.5132720250273,10,1521.504,12,10245,14.5603181122359,-14.5603181122359,3
"15",15,0.8,20,1161.0804,14,4579,9.6885459038761,-9.6885459038761,7,1052.8132,6,3978,8.64465071928089,-8.64465071928089,5
"16",16,0.8,40,849.7562,9,1881,6.78519625729146,-6.78519625729146,10,820.1916,3,1792,6.608809733311,-6.608809733311,3
"17",17,0.8,80,666.202,6,1436,5.44626342699867,-5.44626342699867,11,660.5586,2,1417,5.36012657169408,-5.36012657169408,7
"18",18,0.8,160,541.9328,4,1115,4.41278595365859,-4.41278595365859,3,562.571,1,1155,4.61656365750552,-4.61656365750552,5
